Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2015-11-15,0.7,0.7,0.7,0.85,0.9,0.85,0.78,1
DEL18DT,2015-11-22,0.75,0.75,0.7,0.6,0.65,0.6,0.68,1
DEL18DT,2015-11-09,0.75,0.7,0.75,0.8,0.75,0.75,0.75,1
DEL18DT,2015-11-11,0.85,0.85,0.8,0.8,0.8,0.85,0.83,<1
DEL18DT,2015-11-18,0.65,0.7,0.75,0.8,0.85,0.85,0.77,<1
DEL18DT,2015-11-10,0.65,0.75,0.75,0.85,0.8,0.85,0.78,1
DEL18DT,2015-11-25,0.7,0.7,0.75,0.7,0.75,0.8,0.73,1
DEL18DT,2015-11-01,0.75,0.75,0.7,0.7,0.8,0.8,0.75,1
DEL18DT,2015-11-02,0.75,0.75,0.8,0.75,0.8,0.9,0.79,3
DEL18DT,2015-11-21,0.85,0.8,0.8,0.75,0.7,0.7,0.77,1
DEL18DT,2015-11-04,0.95,0.95,0.8,0.8,0.75,0.85,0.85,3
DEL18DT,2015-11-16,0.85,0.8,0.8,0.75,0.85,0.75,0.8,1
DEL18DT,2015-11-20,0.9,0.95,,0.85,0.8,0.8,0.86,2
DEL18DT,2015-11-06,0.8,0.8,0.85,0.75,0.9,0.85,0.83,1
DEL18DT,2015-11-24,0.65,0.65,0.65,0.75,0.7,0.65,0.68,2
DEL18DT,2015-11-17,0.8,0.75,0.75,0.65,0.65,0.75,0.73,3
DEL18DT,2015-11-05,0.85,0.8,0.8,0.7,0.8,0.85,0.8,<1
DEL18DT,2015-11-08,0.7,0.7,0.7,0.85,0.8,0.7,0.74,1
DEL18DT,2015-11-29,0.65,0.65,0.65,0.9,0.65,0.7,0.7,<1
DEL18DT,2015-11-23,0.7,0.65,0.65,0.7,0.65,0.65,0.67,<1
DEL18DT,2015-11-14,0.8,0.85,0.75,0.65,0.7,0.7,0.74,<1
DEL18DT,2015-11-07,0.75,0.75,0.8,0.7,0.7,0.7,0.73,1
DEL18DT,2015-11-27,0.75,0.7,0.75,0.8,0.75,0.75,0.75,<1
DEL18DT,2015-12-31,0.8,0.8,0.85,0.9,0.8,0.85,0.83,2
DEL18DT,2015-12-09,0.65,0.65,0.65,0.65,0.75,0.75,0.68,1
DEL18DT,2015-12-15,0.8,0.75,0.9,1,0.85,0.75,0.84,<1
DEL18DT,2015-12-01,0.75,0.7,0.75,0.7,0.7,0.75,0.73,<1
DEL18DT,2015-12-26,0.8,0.8,0.8,0.7,0.7,0.75,0.76,<1
DEL18DT,2015-12-13,0.7,0.7,0.65,0.75,0.7,0.7,0.7,<1
DEL18DT,2015-12-27,0.7,0.75,0.75,0.65,0.7,0.75,0.72,<1
DEL18DT,2015-12-05,0.75,0.7,0.85,0.65,0.7,0.7,0.73,1
DEL18DT,2015-12-18,0.7,0.75,0.8,0.85,0.8,0.9,0.8,4
DEL18DT,2015-12-02,0.7,0.75,0.7,0.6,0.6,0.65,0.67,<1
DEL18DT,2015-12-22,0.75,0.75,0.8,0.85,0.9,0.95,0.83,2
DEL18DT,2015-12-24,0.65,0.75,0.75,0.65,0.75,0.8,0.73,1
DEL18DT,2015-12-07,0.85,0.75,0.85,0.9,0.75,0.75,0.81,<1
DEL18DT,2015-12-29,0.75,0.85,1.1,0.7,0.85,0.65,0.82,1
DEL18DT,2015-12-11,0.8,0.8,0.85,0.75,0.9,0.8,0.82,<1
DEL18DT,2015-12-04,0.85,0.9,0.85,0.75,0.75,0.8,0.82,<1
DEL18DT,2015-12-19,0.85,0.85,0.95,0.65,0.65,0.65,0.77,<1
DEL18DT,2015-12-21,0.9,0.8,0.85,0.65,0.7,0.75,0.78,<1
DEL18DT,2015-12-10,0.75,0.8,0.8,0.8,0.8,0.9,0.81,1
DEL18DT,2015-12-14,0.75,0.7,0.75,0.9,0.8,0.9,0.8,<1
DEL18DT,2015-12-06,0.75,0.7,0.7,0.75,0.75,0.8,0.74,1
DEL18DT,2015-12-30,0.75,0.7,0.75,0.8,0.85,0.75,0.77,1
DEL18DT,2015-12-25,0.8,0.75,0.7,0.85,0.85,0.85,0.8,1
DEL18DT,2015-12-17,0.65,0.65,0.75,0.8,0.75,0.7,0.72,1
DEL18DT,2015-12-12,0.85,0.8,0.85,0.65,0.65,0.7,0.75,<1
DEL18DT,2015-12-03,0.65,0.7,0.75,0.85,0.9,0.85,0.78,<1
DEL18DT,2015-12-28,0.7,0.7,0.8,0.75,0.75,0.75,0.74,<1
DEL18DT,2015-12-16,0.85,0.8,0.7,0.7,0.7,0.65,0.73,3
DEL18DT,2015-12-20,0.65,0.7,0.7,0.75,0.75,0.85,0.73,1
DEL18DT,2015-12-23,0.95,0.95,0.85,0.7,0.7,0.65,0.8,2
DEL18DT,2015-12-08,0.65,0.65,0.7,0.65,0.7,0.65,0.67,<1
DEL18DT,2016-01-08,0.85,0.85,0.8,0.75,0.8,0.85,0.82,1
DEL18DT,2015-12-31,0.8,0.8,0.85,0.9,0.8,0.85,0.83,2
DEL18DT,2016-02-07,0.9,0.9,0.8,0.8,0.85,0.85,0.85,1
DEL18DT,2015-12-15,0.8,0.75,0.9,1,0.85,0.75,0.84,<1
DEL18DT,2016-01-23,0.8,0.9,0.9,0.95,0.95,1,0.92,<1
DEL18DT,2016-01-26,1.1,0.85,0.85,0.85,0.9,0.95,0.92,1
DEL18DT,2015-12-26,0.8,0.8,0.8,0.7,0.7,0.75,0.76,<1
DEL18DT,2016-02-05,0.9,0.9,0.9,0.9,0.95,0.95,0.92,<1
DEL18DT,2016-01-19,0.7,0.8,0.75,0.7,0.85,0.8,0.77,<1
DEL18DT,2015-12-13,,0.7,0.65,0.75,0.7,0.7,0.7,<1
DEL18DT,2016-01-05,0.7,0.8,0.8,0.85,0.75,0.85,0.79,<1
DEL18DT,2015-12-27,0.7,0.75,0.75,0.65,0.7,0.75,0.72,<1
DEL18DT,2016-01-12,0.75,0.85,0.85,0.75,0.8,0.8,0.8,1
DEL18DT,2016-02-04,0.95,0.85,0.85,0.9,1,0.9,0.91,<1
DEL18DT,2016-01-07,0.8,0.75,0.8,0.75,0.8,0.85,0.79,<1
DEL18DT,2016-01-02,0.8,0.85,0.9,0.65,0.65,0.65,0.75,2
DEL18DT,2016-02-01,0.8,0.8,0.8,0.8,0.9,0.85,0.83,<1
DEL18DT,2015-12-18,0.7,0.75,0.8,0.85,0.8,0.9,0.8,4
DEL18DT,2015-12-22,0.75,0.75,0.8,0.85,0.9,0.95,0.83,2
DEL18DT,2016-01-20,0.8,0.75,0.75,1,1,1,0.88,1
DEL18DT,2015-12-24,0.65,0.75,0.75,0.65,0.75,0.8,0.73,1
DEL18DT,2016-01-25,0.75,0.7,0.65,0.85,0.85,0.95,0.79,2
DEL18DT,2016-02-02,0.95,0.95,0.95,,,,0.95,<1
DEL18DT,2016-01-11,0.9,0.85,0.85,0.7,0.75,0.75,0.8,3
DEL18DT,2016-01-06,0.75,0.85,0.8,0.8,0.75,0.8,0.79,<1
DEL18DT,2016-01-29,0.8,0.95,0.85,0.95,0.95,0.85,0.89,<1
DEL18DT,2016-01-30,0.9,0.9,0.9,0.8,0.8,0.8,0.85,<1
DEL18DT,2016-02-09,0.9,0.9,0.9,0.8,0.85,0.85,0.87,3
DEL18DT,2015-12-29,0.75,0.85,1.1,0.7,0.85,0.65,0.82,1
DEL18DT,2016-01-04,0.85,0.8,0.85,0.75,0.95,0.8,0.83,<1
DEL18DT,2016-02-08,0.9,0.85,1.1,1.2,0.85,1,0.98,<1
DEL18DT,2016-02-03,,0.95,0.9,0.9,0.95,0.95,0.93,<1
DEL18DT,2015-12-19,0.85,0.85,0.95,0.65,0.65,0.65,0.77,<1
DEL18DT,2016-02-11,0.9,0.9,0.85,,,,0.88,<1
DEL18DT,2016-01-03,0.65,0.7,0.7,0.8,0.8,0.75,0.73,<1
DEL18DT,2016-01-22,0.85,0.75,0.75,0.9,0.95,0.9,0.85,<1
DEL18DT,2015-12-21,0.9,0.8,0.85,0.65,0.7,0.75,0.78,<1
DEL18DT,2016-02-06,0.9,0.95,0.85,0.9,0.85,0.8,0.88,<1
DEL18DT,2016-01-01,0.9,0.9,0.85,0.8,0.75,0.85,0.84,<1
DEL18DT,2016-02-10,0.8,0.85,0.9,1.2,0.95,0.95,0.94,<1
DEL18DT,2016-01-14,0.95,0.85,1,0.85,0.85,0.85,0.89,<1
DEL18DT,2015-12-14,0.75,0.7,0.75,0.9,0.8,0.9,0.8,<1
DEL18DT,2016-01-24,1,0.85,0.9,1.1,0.75,0.65,0.88,<1
DEL18DT,2016-01-09,0.75,0.9,0.8,0.75,0.65,0.75,0.77,<1
DEL18DT,2015-12-30,0.75,0.7,0.75,0.8,0.85,0.75,0.77,1
DEL18DT,2015-12-25,0.8,0.75,0.7,0.85,0.85,0.85,0.8,1
DEL18DT,2015-12-17,0.65,0.65,0.75,0.8,0.75,0.7,0.72,1
DEL18DT,2016-01-15,0.9,0.8,0.85,0.8,0.85,0.85,0.84,<1
DEL18DT,2016-01-17,0.8,0.8,0.75,0.8,0.85,0.75,0.79,<1
DEL18DT,2016-01-27,0.95,1,0.75,0.85,0.85,0.85,0.88,<1
DEL18DT,2016-01-18,0.8,0.7,0.8,0.85,0.75,0.8,0.78,<1
DEL18DT,2015-12-28,0.7,0.7,0.8,0.75,0.75,0.75,0.74,<1
DEL18DT,2016-01-16,0.8,0.85,0.85,0.7,0.75,0.8,0.79,<1
DEL18DT,2015-12-16,0.85,0.8,0.7,0.7,0.7,0.65,0.73,3
DEL18DT,2016-01-10,0.7,0.75,1,0.8,1.1,0.95,0.88,2
DEL18DT,2015-12-20,0.65,0.7,0.7,0.75,0.75,0.85,0.73,1
DEL18DT,2015-12-23,0.95,0.95,0.85,0.7,0.7,0.65,0.8,2
DEL18DT,2016-01-13,0.85,0.85,0.85,0.9,0.8,0.85,0.85,1
DEL18DT,2016-01-28,0.85,0.9,0.8,0.85,0.85,0.95,0.87,<1
DEL18DT,2016-01-31,0.85,0.8,0.85,0.9,0.75,0.8,0.83,<1
DEL18DT,2016-01-21,0.85,0.75,0.8,0.75,0.8,0.75,0.78,<1
DEL18DT,2016-02-27,1,1.1,1.1,0.85,0.8,0.9,0.96,<1
DEL18DT,2016-02-19,1.1,0.9,0.85,1,1.1,1.1,1.01,4
DEL18DT,2016-02-14,0.85,0.85,0.9,0.9,0.95,0.95,0.9,<1
DEL18DT,2016-02-13,0.95,1,1,0.85,0.8,0.85,0.91,1
DEL18DT,2016-02-17,0.95,0.9,1,0.85,0.85,0.85,0.9,2
DEL18DT,2016-02-23,0.95,0.85,0.95,1.3,1.3,1.4,1.13,<1
DEL18DT,2016-02-24,1.5,1.4,1.2,1.3,1.1,1.2,1.28,1
DEL18DT,2016-02-29,0.9,0.9,1,0.75,0.9,0.9,0.89,1
DEL18DT,2016-02-15,1,1,0.95,0.85,1.1,0.9,0.97,<1
DEL18DT,2016-02-28,0.95,0.95,1,0.9,0.85,0.85,0.92,2
DEL18DT,2016-02-12,0.8,0.85,0.8,1,0.8,0.95,0.87,1
DEL18DT,2016-02-20,1,1.1,1,0.85,0.8,1.1,0.98,<1
DEL18DT,2016-02-22,0.95,1,0.95,0.9,0.85,0.85,0.92,<1
DEL18DT,2016-02-25,1.1,1,1,0.85,1.1,1,1.01,1
DEL18DT,2016-02-21,1,0.9,0.85,0.85,0.95,0.95,0.92,<1
DEL18DT,2016-02-18,0.85,0.8,0.95,0.8,0.8,0.85,0.84,<1
DEL18DT,2016-02-16,0.9,0.9,1,0.9,1,0.9,0.93,2
DEL18DT,2016-02-26,0.95,1,0.95,1.1,1.1,1.1,1.03,1
DEL18DT,2016-03-30,0.85,0.85,0.85,0.8,0.9,0.8,0.84,<1
DEL18DT,2016-03-27,0.85,0.85,1,0.8,0.8,0.75,0.84,<1
DEL18DT,2016-03-04,0.85,0.85,0.9,0.85,0.9,0.85,0.87,<1
DEL18DT,2016-03-05,0.85,0.9,0.85,0.85,0.8,1.2,0.91,<1
DEL18DT,2016-03-16,0.9,0.9,0.85,1,0.8,0.9,0.89,<1
DEL18DT,2016-03-23,0.75,0.75,0.8,0.95,0.95,0.95,0.86,1
DEL18DT,2016-03-08,0.95,0.9,0.95,1,1,0.85,0.94,<1
DEL18DT,2016-03-15,1,0.95,0.9,0.95,1.1,0.9,0.97,<1
DEL18DT,2016-03-29,0.8,0.85,0.7,0.85,0.75,0.75,0.78,<1
DEL18DT,2016-03-22,0.8,0.85,0.85,0.8,0.8,0.8,0.82,<1
DEL18DT,2016-03-18,0.9,0.95,0.85,0.8,0.8,0.8,0.85,<1
DEL18DT,2016-03-26,0.85,1,0.85,0.8,0.75,0.8,0.84,<1
DEL18DT,2016-03-06,1.1,0.8,0.85,0.8,0.75,0.85,0.86,<1
DEL18DT,2016-03-01,0.85,0.85,0.85,0.85,0.9,0.9,0.87,<1
DEL18DT,2016-03-14,0.8,0.95,0.85,1.1,1.1,1,0.97,1
DEL18DT,2016-03-24,0.9,0.85,0.9,0.8,0.9,0.85,0.87,1
DEL18DT,2016-03-03,0.85,0.85,0.9,0.85,1,0.9,0.89,<1
DEL18DT,2016-03-02,0.9,0.9,0.9,0.9,0.9,0.85,0.89,<1
DEL18DT,2016-03-17,0.9,0.95,0.9,0.9,0.8,0.8,0.88,<1
DEL18DT,2016-03-11,0.9,0.9,0.85,0.8,0.95,1,0.9,<1
DEL18DT,2016-03-13,0.85,0.85,0.85,0.85,0.85,0.85,0.85,<1
DEL18DT,2016-03-10,0.95,0.95,0.95,0.95,1,0.9,0.95,<1
DEL18DT,2016-03-09,0.9,0.9,0.85,0.85,0.8,0.9,0.87,<1
DEL18DT,2016-03-28,0.75,0.8,0.75,0.75,0.8,0.9,0.79,1
DEL18DT,2016-03-19,0.9,0.85,0.95,0.8,0.85,0.85,0.87,<1
DEL18DT,2016-03-25,0.9,0.8,0.8,0.8,0.95,0.9,0.86,<1
DEL18DT,2016-03-31,0.75,0.75,0.75,0.8,0.75,0.85,0.78,<1
DEL18DT,2016-03-12,0.95,0.9,0.85,0.75,0.85,0.85,0.86,<1
DEL18DT,2016-03-20,0.85,0.85,0.85,0.8,1,1,0.89,<1
DEL18DT,2016-03-07,0.85,0.85,0.85,0.85,0.85,0.95,0.87,<1
DEL18DT,2016-03-21,1.1,0.95,0.95,0.8,0.8,0.8,0.9,<1
DEL18DT,2016-04-04,0.85,0.85,0.9,0.8,0.9,1,0.88,<1
DEL18DT,2016-04-18,0.95,1,1,1,0.8,0.9,0.94,<1
DEL18DT,2016-04-29,0.8,0.8,0.8,0.8,0.8,0.7,0.78,<1
DEL18DT,2016-04-24,0.95,1.2,0.9,0.95,0.85,0.9,0.96,<1
DEL18DT,2016-04-09,0.9,0.9,1,0.9,0.9,0.9,0.92,<1
DEL18DT,2016-04-15,0.95,1,1,1,0.9,0.85,0.95,<1
DEL18DT,2016-04-03,0.9,0.9,1.1,0.8,0.85,0.8,0.89,<1
DEL18DT,2016-04-05,1,1,1.1,0.95,0.85,0.95,0.98,<1
DEL18DT,2016-04-08,0.85,0.85,0.85,0.8,0.8,0.95,0.85,1
DEL18DT,2016-04-10,0.95,0.8,0.9,0.8,0.85,0.85,0.86,<1
DEL18DT,2016-04-02,0.85,1,0.85,1.1,0.95,0.9,0.94,<1
DEL18DT,2016-04-12,0.95,0.9,1,0.85,0.85,0.9,0.91,<1
DEL18DT,2016-04-19,0.85,0.9,0.9,1,1.1,1.1,0.98,<1
DEL18DT,2016-04-11,0.8,1,0.85,0.85,1.3,1.1,0.98,<1
DEL18DT,2016-04-30,0.6,0.7,0.7,0.75,0.8,1,0.76,<1
DEL18DT,2016-04-13,0.8,0.85,0.95,0.9,1,1.1,0.93,<1
DEL18DT,2016-04-07,1,0.95,0.95,0.8,0.9,0.85,0.91,<1
DEL18DT,2016-04-22,1,1,0.95,0.9,0.9,0.9,0.94,<1
DEL18DT,2016-04-14,0.95,1.1,0.9,0.95,1,0.85,0.96,<1
DEL18DT,2016-04-26,0.85,0.85,0.9,0.8,0.95,0.85,0.87,<1
DEL18DT,2016-04-20,0.9,1,1,0.95,0.9,0.95,0.95,<1
DEL18DT,2016-04-25,0.85,0.9,0.85,0.85,0.85,0.8,0.85,<1
DEL18DT,2016-04-17,0.95,1,0.95,0.95,1,1.1,0.99,<1
DEL18DT,2016-04-06,0.85,0.95,0.9,0.9,0.85,0.95,0.9,<1
DEL18DT,2016-04-16,0.85,0.9,1,1.1,1,1,0.98,<1
DEL18DT,2016-04-21,1,1,0.9,1,1,1,0.98,<1
DEL18DT,2016-04-27,0.8,0.75,0.8,0.75,0.75,0.85,0.78,<1
DEL18DT,2016-04-23,1,0.95,1,0.8,0.85,0.85,0.91,1
DEL18DT,2016-04-28,0.8,0.85,0.85,0.8,0.75,0.8,0.81,1
DEL18DT,2016-04-01,0.9,0.85,0.85,0.85,0.9,0.95,0.88,<1
DEL18DT,2016-05-22,0.75,0.7,0.75,0.75,0.7,0.75,0.73,<1
DEL18DT,2016-05-29,0.7,0.75,0.75,0.8,0.75,0.85,0.77,<1
DEL18DT,2016-05-21,0.85,0.8,0.8,0.8,0.75,0.8,0.8,<1
DEL18DT,2016-05-07,0.85,0.95,0.95,0.85,0.8,0.9,0.88,2
DEL18DT,2016-05-04,0.7,0.75,0.65,0.75,0.75,0.75,0.73,<1
DEL18DT,2016-05-02,0.7,0.75,0.75,0.75,0.75,0.8,0.75,<1
DEL18DT,2016-05-31,0.95,0.8,0.75,0.8,0.75,0.75,0.8,2
DEL18DT,2016-05-27,0.8,0.75,0.7,0.7,0.75,0.75,0.74,1
DEL18DT,2016-05-01,0.95,1.1,0.85,0.75,0.65,0.7,0.83,<1
DEL18DT,2016-05-14,0.8,0.8,0.75,0.75,0.8,0.7,0.77,1
DEL18DT,2016-05-17,0.9,0.8,0.75,0.8,0.65,0.75,0.78,<1
DEL18DT,2016-05-28,0.75,0.8,0.7,0.75,0.75,0.8,0.76,<1
DEL18DT,2016-05-19,0.7,0.75,0.7,0.65,0.8,0.75,0.73,<1
DEL18DT,2016-05-25,0.75,0.7,0.75,0.85,0.9,0.7,0.78,<1
DEL18DT,2016-05-15,0.95,0.8,0.85,0.85,0.75,0.85,0.84,<1
DEL18DT,2016-05-10,0.75,0.85,0.7,0.7,0.75,0.8,0.76,<1
DEL18DT,2016-05-06,0.85,0.75,0.8,1,0.8,0.95,0.86,<1
DEL18DT,2016-05-11,0.85,1,0.9,0.7,0.8,0.65,0.82,<1
DEL18DT,2016-05-09,0.75,0.85,0.85,0.9,0.8,0.75,0.82,1
DEL18DT,2016-05-16,0.75,0.75,0.7,0.6,0.85,0.8,0.74,<1
DEL18DT,2016-05-24,0.8,0.85,0.7,0.8,0.8,0.75,0.78,1
DEL18DT,2016-05-13,0.85,0.8,0.75,0.75,0.8,0.75,0.78,<1
DEL18DT,2016-05-18,0.7,0.75,0.75,0.8,0.75,0.85,0.77,<1
DEL18DT,2016-05-20,0.8,0.75,0.8,0.75,0.85,0.65,0.77,1
DEL18DT,2016-05-05,0.7,0.7,0.7,0.7,0.75,0.85,0.73,<1
DEL18DT,2016-05-03,0.9,0.75,0.8,0.7,0.8,0.75,0.78,<1
DEL18DT,2016-05-23,0.8,0.7,0.8,0.7,0.75,0.7,0.74,1
DEL18DT,2016-05-08,0.95,0.8,0.85,0.85,0.75,0.75,0.83,<1
DEL18DT,2016-05-12,0.65,0.7,0.75,0.65,0.7,0.75,0.7,<1
DEL18DT,2016-05-26,0.85,0.85,0.85,0.7,0.75,0.8,0.8,1
DEL18DT,2016-05-30,0.7,0.8,0.75,0.7,0.75,0.7,0.73,1
DEL18DT,2016-06-07,0.7,0.7,0.65,0.6,0.75,0.85,0.71,<1
DEL18DT,2016-06-18,0.85,0.95,0.8,0.85,1,1.1,0.93,<1
DEL18DT,2016-06-15,0.8,0.85,0.8,0.9,1,0.85,0.87,1
DEL18DT,2016-06-26,0.85,0.8,0.75,0.85,0.75,0.75,0.79,<1
DEL18DT,2016-06-24,0.8,0.8,0.85,0.65,0.7,0.75,0.76,<1
DEL18DT,2016-06-16,0.85,0.95,0.9,0.8,0.8,0.95,0.88,<1
DEL18DT,2016-06-13,0.8,0.85,0.8,0.7,0.85,0.75,0.79,<1
DEL18DT,2016-06-30,0.65,0.8,0.75,0.8,0.9,0.85,0.79,1
DEL18DT,2016-06-19,0.95,0.95,0.85,0.9,0.85,0.9,0.9,<1
DEL18DT,2016-06-08,0.7,0.75,0.65,0.7,0.7,0.7,0.7,3
DEL18DT,2016-06-01,0.7,0.85,0.75,,0.9,0.65,0.77,
DEL18DT,2016-06-25,0.8,0.75,0.7,0.8,0.75,0.8,0.77,1
DEL18DT,2016-06-29,0.8,0.75,0.8,0.8,1.1,0.65,0.82,<1
DEL18DT,2016-06-04,0.65,0.65,0.7,0.7,0.75,0.7,0.69,<1
DEL18DT,2016-06-06,0.8,0.7,0.75,0.65,0.65,0.7,0.71,<1
DEL18DT,2016-06-27,0.8,0.7,0.8,0.95,0.85,1.1,0.87,<1
DEL18DT,2016-06-02,0.65,0.7,0.65,0.7,0.7,0.75,0.69,<1
DEL18DT,2016-06-22,0.8,0.85,1,0.85,0.85,0.9,0.88,<1
DEL18DT,2016-06-11,0.6,0.7,0.8,0.75,0.8,0.8,0.74,1
DEL18DT,2016-06-12,0.8,0.75,0.75,0.95,0.85,0.85,0.83,1
DEL18DT,2016-06-03,0.8,0.6,0.75,0.65,0.65,0.7,0.69,<1
DEL18DT,2016-06-23,0.9,0.9,0.8,0.95,0.9,0.85,0.88,<1
DEL18DT,2016-06-28,0.95,0.9,0.95,0.7,0.7,0.7,0.82,<1
DEL18DT,2016-06-10,0.85,0.75,0.75,0.75,0.75,0.7,0.76,<1
DEL18DT,2016-06-09,0.8,0.7,0.7,0.7,0.75,0.8,0.74,<1
DEL18DT,2016-06-21,0.95,0.9,0.85,0.85,0.9,0.8,0.88,1
DEL18DT,2016-06-17,0.9,0.9,1.3,0.8,1,0.8,0.95,1
DEL18DT,2016-06-20,0.95,0.8,0.7,0.9,4.3,0.9,1.43,1
DEL18DT,2016-06-05,0.75,0.8,0.8,1,0.65,0.7,0.78,<1
DEL18DT,2016-06-14,0.75,0.8,0.8,0.95,0.9,0.8,0.83,2
DEL18DT,2016-07-20,0.75,0.75,0.8,0.8,0.7,0.7,0.75,<1
DEL18DT,2016-07-26,1.1,1,1.2,0.9,0.8,0.85,0.98,<1
DEL18DT,2016-07-29,0.85,0.8,0.8,0.75,0.7,0.95,0.81,2
DEL18DT,2016-07-02,0.65,0.65,0.7,0.85,0.85,0.85,0.76,1
DEL18DT,2016-07-14,0.55,0.6,0.65,0.7,0.65,0.65,0.63,<1
DEL18DT,2016-07-05,0.85,0.8,0.7,0.7,0.7,0.7,0.74,1
DEL18DT,2016-07-08,0.75,0.65,0.8,0.75,0.7,0.7,0.73,<1
DEL18DT,2016-07-12,0.6,0.6,0.65,0.6,0.65,0.65,0.63,1
DEL18DT,2016-07-22,0.8,0.7,0.75,0.7,0.7,0.85,0.75,<1
DEL18DT,2016-07-16,0.6,0.7,0.6,0.75,0.7,0.7,0.68,2
DEL18DT,2016-07-23,0.8,0.75,0.75,0.85,0.95,0.9,0.83,<1
DEL18DT,2016-07-03,0.75,0.7,0.7,0.8,0.8,0.75,0.75,<1
DEL18DT,2016-07-09,0.65,0.65,0.7,0.65,0.65,0.65,0.66,1
DEL18DT,2016-07-10,0.65,0.65,0.65,0.6,0.65,0.65,0.64,<1
DEL18DT,2016-07-27,0.9,0.85,0.9,1.2,0.85,0.85,0.93,<1
DEL18DT,2016-07-17,0.65,0.65,0.6,0.8,0.75,0.7,0.69,1
DEL18DT,2016-07-28,0.8,0.9,0.85,0.85,0.95,1.4,0.96,<1
DEL18DT,2016-07-07,0.75,0.75,0.8,0.8,0.7,0.75,0.76,<1
DEL18DT,2016-07-15,0.6,0.65,1.3,0.6,0.6,0.65,0.73,2
DEL18DT,2016-07-21,0.8,0.8,0.8,0.75,0.75,0.8,0.78,<1
DEL18DT,2016-07-18,0.8,0.7,0.65,0.75,0.7,0.75,0.73,<1
DEL18DT,2016-07-04,0.7,0.7,0.7,0.75,0.8,0.85,0.75,<1
DEL18DT,2016-07-25,0.95,0.9,0.8,0.8,0.9,0.85,0.87,<1
DEL18DT,2016-07-06,0.8,0.65,0.65,0.9,0.75,0.75,0.75,<1
DEL18DT,2016-07-19,0.7,0.65,0.7,0.7,0.8,0.75,0.72,1
DEL18DT,2016-07-30,0.8,0.75,0.75,0.8,0.75,0.85,0.78,<1
DEL18DT,2016-07-31,0.85,0.85,0.8,0.65,0.6,0.6,0.73,<1
DEL18DT,2016-07-24,0.85,0.9,0.75,0.8,0.9,0.95,0.86,<1
DEL18DT,2016-07-01,0.8,0.9,0.7,0.55,0.75,0.65,0.73,<1
DEL18DT,2016-07-13,0.65,0.65,0.65,0.6,0.7,0.55,0.63,<1
DEL18DT,2016-07-11,0.65,0.7,0.65,0.7,0.6,0.7,0.67,<1
DEL18DT,2016-08-28,0.75,0.7,0.7,0.65,0.8,0.85,0.74,1
DEL18DT,2016-08-06,0.65,0.75,0.75,0.85,0.9,0.85,0.79,<1
DEL18DT,2016-08-08,0.75,0.75,0.7,0.7,0.85,0.75,0.75,<1
DEL18DT,2016-08-01,0.7,0.75,0.75,0.65,0.65,0.7,0.7,2
DEL18DT,2016-08-18,0.85,0.75,0.85,0.75,0.75,0.75,0.78,1
DEL18DT,2016-08-13,0.75,0.8,0.8,0.85,0.85,0.95,0.83,<1
DEL18DT,2016-08-02,0.75,0.7,0.8,0.7,0.75,0.75,0.74,1
DEL18DT,2016-08-22,0.7,0.75,0.8,0.8,0.85,0.8,0.78,1
DEL18DT,2016-08-05,0.75,0.75,0.7,0.85,0.75,0.7,0.75,2
DEL18DT,2016-08-26,0.75,0.7,0.75,0.8,0.75,0.7,0.74,<1
DEL18DT,2016-08-21,0.75,0.8,0.8,0.7,0.8,0.75,0.77,1
DEL18DT,2016-08-14,0.9,0.8,0.8,0.85,0.85,0.9,0.85,2
DEL18DT,2016-08-24,0.7,0.8,0.75,0.75,0.7,0.8,0.75,<1
DEL18DT,2016-08-10,0.8,0.8,0.7,0.8,0.8,0.8,0.78,1
DEL18DT,2016-08-29,0.85,0.8,0.75,0.75,0.85,0.7,0.78,1
DEL18DT,2016-08-19,0.75,0.8,0.8,0.7,0.8,0.85,0.78,1
DEL18DT,2016-08-12,0.9,0.7,0.8,0.85,0.8,0.75,0.8,<1
DEL18DT,2016-08-20,0.85,0.8,0.75,0.8,0.8,0.8,0.8,<1
DEL18DT,2016-08-15,0.8,0.8,0.75,0.8,0.85,0.85,0.81,1
DEL18DT,2016-08-23,0.85,0.85,0.8,0.8,0.8,0.75,0.81,<1
DEL18DT,2016-08-03,0.75,0.7,0.75,0.85,0.8,0.7,0.76,1
DEL18DT,2016-08-09,0.85,0.75,0.75,0.8,0.85,0.85,0.81,<1
DEL18DT,2016-08-25,0.8,0.8,0.75,0.8,0.8,0.75,0.78,1
DEL18DT,2016-08-04,0.75,0.75,0.75,0.8,0.75,0.8,0.77,<1
DEL18DT,2016-08-11,0.8,0.85,0.8,0.8,0.8,0.85,0.82,<1
DEL18DT,2016-08-17,0.8,0.8,0.85,0.8,0.75,0.85,0.81,<1
DEL18DT,2016-08-31,0.65,0.6,0.7,0.85,0.7,0.8,0.72,<1
DEL18DT,2016-08-30,0.7,0.7,0.75,0.75,0.7,0.65,0.71,<1
DEL18DT,2016-08-16,0.65,0.75,0.75,0.75,0.75,0.85,0.75,1
