Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2020-01-27,0.75,0.75,0.7,0.75,0.8,0.8,0.76,E4
DEL18DT,2020-01-13,0.75,0.55,0.6,0.65,0.65,0.65,0.64,<1
DEL18DT,2020-04-18,0.8,0.75,0.7,0.8,0.8,0.85,0.78,<1
DEL18DT,2020-04-11,0.6,0.6,0.6,0.7,0.7,0.7,0.65,<1
DEL18DT,2020-04-07,0.7,0.75,0.7,0.8,0.65,0.7,0.72,<1
DEL18DT,2020-04-08,0.7,0.7,0.7,0.7,0.65,0.7,0.69,<1
DEL18DT,2020-04-02,0.8,0.8,0.8,0.65,0.7,0.75,0.75,<1
DEL18DT,2020-04-24,0.75,0.7,0.7,0.75,0.65,0.75,0.72,<1
DEL18DT,2020-04-20,0.75,0.8,0.85,0.8,0.7,0.85,0.79,<1
DEL18DT,2020-04-17,0.85,0.85,0.75,0.7,0.8,0.75,0.78,E1
DEL18DT,2020-04-27,0.8,0.8,0.9,0.8,0.8,0.8,0.82,<1
DEL18DT,2020-04-13,0.65,0.65,0.65,0.95,0.9,0.8,0.77,<1
DEL18DT,2020-04-09,0.65,0.7,0.75,0.65,0.65,0.6,0.67,<1
DEL18DT,2020-04-12,0.75,0.75,0.7,0.65,0.65,0.6,0.68,<1
DEL18DT,2020-04-16,0.75,0.8,0.65,0.8,0.8,0.75,0.76,E1
DEL18DT,2020-04-29,0.65,0.75,0.65,0.75,0.9,0.85,0.76,<1
DEL18DT,2020-04-15,0.85,0.75,0.85,0.7,0.75,0.75,0.78,E1
DEL18DT,2020-04-14,0.8,0.9,0.85,0.8,0.7,0.75,0.8,E1
DEL18DT,2020-04-04,0.7,0.65,0.7,0.8,0.75,0.75,0.73,<1
DEL18DT,2020-04-23,0.75,0.7,0.7,0.75,0.65,0.65,0.7,<1
DEL18DT,2020-04-22,0.7,0.7,0.7,0.7,0.7,0.7,0.7,<1
DEL18DT,2020-04-19,0.85,0.75,0.8,0.85,0.85,0.65,0.79,<1
DEL18DT,2020-04-26,0.7,0.7,0.7,0.75,0.85,0.8,0.75,<1
DEL18DT,2020-04-25,0.7,0.7,0.7,0.75,0.8,0.75,0.73,<1
DEL18DT,2020-04-06,0.7,0.7,0.7,0.7,0.7,0.7,0.7,E1
DEL18DT,2020-04-05,0.75,0.7,0.7,0.7,0.7,0.75,0.72,<1
DEL18DT,2020-04-03,0.7,0.75,0.65,0.65,0.7,0.7,0.69,<1
DEL18DT,2020-04-10,0.65,0.7,0.6,0.6,0.6,0.6,0.63,<1
DEL18DT,2020-04-28,0.7,0.8,0.9,0.75,0.7,0.65,0.75,<1
DEL18DT,2020-04-21,0.85,0.75,0.8,0.75,0.75,0.75,0.78,<1
DEL18DT,2020-04-01,0.7,0.7,0.7,0.85,0.85,0.8,0.77,<1
DEL18DT,2020-04-30,0.8,0.8,0.8,0.9,0.75,0.75,0.8,<1
DEL18DT,2020-05-05,0.7,0.6,0.65,0.75,0.65,0.65,0.67,<1
DEL18DT,2020-05-26,0.75,0.8,0.8,0.8,0.75,0.8,0.78,E1
DEL18DT,2020-05-30,0.8,0.7,0.7,0.8,0.8,0.8,0.77,<1
DEL18DT,2020-05-14,0.8,0.8,0.8,0.7,0.75,0.75,0.77,<1
DEL18DT,2020-05-27,0.8,0.75,0.8,0.85,0.85,0.8,0.81,<1
DEL18DT,2020-05-21,0.75,0.8,0.8,0.8,0.8,0.9,0.81,<1
DEL18DT,2020-05-29,0.75,0.7,0.75,0.7,0.75,0.7,0.73,E3
DEL18DT,2020-05-17,0.8,0.75,0.8,0.75,0.8,0.85,0.79,<1
DEL18DT,2020-05-31,0.85,0.75,0.75,0.9,0.9,0.85,0.83,<1
DEL18DT,2020-05-28,0.85,0.9,0.75,0.75,0.75,0.8,0.8,<1
DEL18DT,2020-05-22,1.3,0.9,0.85,0.75,0.8,0.85,0.91,<1
DEL18DT,2020-05-13,0.7,0.65,0.7,0.75,0.8,0.8,0.73,<1
DEL18DT,2020-05-23,0.9,0.85,0.8,0.8,0.8,0.8,0.83,<1
DEL18DT,2020-05-02,0.65,0.7,0.65,0.65,0.6,0.65,0.65,E1
DEL18DT,2020-05-19,0.75,0.7,0.75,0.75,0.75,1,0.78,E1
DEL18DT,2020-05-03,0.6,0.6,0.65,0.7,0.7,0.7,0.66,E1
DEL18DT,2020-05-08,0.65,0.65,0.7,0.7,0.65,0.65,0.67,<1
DEL18DT,2020-05-15,0.8,0.7,0.75,0.7,0.75,0.75,0.74,<1
DEL18DT,2020-02-23,0.75,0.7,0.75,0.8,0.75,0.8,0.76,<1
DEL18DT,2020-02-22,,,0.95,1,0.8,0.75,0.88,E3
DEL18DT,2020-02-04,0.65,0.65,0.65,0.75,0.7,0.8,0.7,E1
DEL18DT,2020-02-05,0.8,0.75,0.8,0.8,0.8,0.75,0.78,<1
DEL18DT,2020-02-17,0.7,0.7,0.7,0.7,0.7,0.7,0.7,E2
DEL18DT,2020-02-07,0.8,0.75,0.95,0.8,0.7,0.75,0.79,E1
DEL18DT,2020-02-03,0.55,0.7,0.65,0.7,0.7,0.65,0.66,<1
DEL18DT,2020-02-18,0.7,0.65,0.7,0.85,0.8,0.8,0.75,E4
DEL18DT,2020-02-20,0.75,0.7,0.7,0.75,0.75,0.7,0.73,E4
DEL18DT,2020-02-15,0.65,0.65,0.65,0.7,0.65,0.7,0.67,E4
DEL18DT,2020-02-25,0.85,0.85,0.8,0.75,0.8,0.7,0.79,E1
DEL18DT,2020-02-02,0.8,0.8,0.8,0.7,0.75,0.8,0.78,E1
DEL18DT,2020-02-16,0.7,0.65,0.7,0.7,0.7,0.7,0.69,E3
DEL18DT,2020-02-21,0.75,0.8,0.7,0.85,0.75,0.75,0.77,E3
DEL18DT,2020-02-06,0.75,0.7,0.8,0.85,0.7,0.8,0.77,<1
DEL18DT,2020-02-11,0.65,0.75,0.7,0.65,0.65,0.65,0.68,E6
DEL18DT,2020-02-12,0.65,0.65,0.65,0.7,0.75,0.8,0.7,E4
DEL18DT,2020-02-19,0.8,0.85,0.8,0.75,0.7,0.75,0.78,E2
DEL18DT,2020-02-13,0.7,0.7,0.7,0.7,0.65,0.55,0.67,E9
DEL18DT,2020-02-08,0.75,0.75,0.7,0.75,0.75,0.75,0.74,E7
DEL18DT,2020-02-29,0.7,0.65,0.7,0.8,0.8,0.8,0.74,E5
DEL18DT,2020-02-14,0.75,0.65,0.65,0.65,0.65,0.65,0.67,E7
DEL18DT,2020-02-09,0.7,0.7,0.75,0.75,0.75,0.75,0.73,E1
DEL18DT,2020-02-26,0.7,0.7,0.7,0.7,0.8,0.85,0.74,E4
DEL18DT,2020-02-24,0.85,0.8,0.8,0.85,0.75,0.75,0.8,E9
DEL18DT,2020-02-10,0.75,0.75,0.8,0.75,0.75,0.75,0.76,<1
DEL18DT,2020-02-01,0.7,0.75,0.7,0.7,0.8,0.8,0.74,<1
DEL18DT,2020-02-28,0.7,0.65,0.7,0.75,0.7,0.7,0.7,<1
DEL18DT,2020-02-27,1,0.9,0.95,0.7,0.75,0.7,0.83,E3
DEL18DT,2020-03-25,0.9,0.8,0.85,0.95,0.75,0.85,0.85,E3
DEL18DT,2020-03-23,0.85,0.8,0.85,0.85,1,1,0.89,E1
DEL18DT,2020-03-04,0.7,0.7,0.7,0.8,0.8,0.7,0.73,E3
DEL18DT,2020-03-05,0.75,0.7,0.7,0.8,0.6,0.8,0.73,E1
DEL18DT,2020-03-19,0.8,0.8,0.8,0.7,0.75,0.8,0.78,<1
DEL18DT,2020-03-28,0.65,0.65,0.65,0.85,0.85,0.85,0.75,<1
DEL18DT,2020-03-07,0.75,0.75,0.75,0.9,0.9,0.85,0.82,<1
DEL18DT,2020-03-20,0.75,0.75,0.7,0.75,0.7,0.65,0.72,<1
DEL18DT,2020-03-18,0.75,0.7,0.7,0.8,0.75,0.8,0.75,<1
DEL18DT,2020-03-12,0.75,0.65,0.7,0.7,0.65,0.7,0.69,E1
DEL18DT,2020-03-26,0.85,0.75,0.8,0.75,0.8,0.75,0.78,<1
DEL18DT,2020-03-15,0.8,0.7,0.8,0.8,0.7,0.8,0.77,<1
DEL18DT,2020-03-24,0.95,0.9,0.95,0.9,0.85,0.8,0.89,<1
DEL18DT,2020-03-14,,,0.85,0.8,0.85,0.8,0.83,<1
DEL18DT,2020-03-31,0.8,0.65,0.75,0.8,0.75,0.75,0.75,<1
DEL18DT,2020-03-03,0.75,0.8,0.75,0.7,0.7,0.7,0.73,E3
DEL18DT,2020-03-30,0.8,0.75,0.7,0.8,0.75,0.9,0.78,<1
DEL18DT,2020-03-09,0.7,0.8,0.75,0.7,0.7,0.7,0.73,<1
DEL18DT,2020-03-06,0.75,0.75,0.75,0.7,0.75,0.75,0.74,E2
