"","Source","Turbidity","Ecoli","Precipitation","Temperature"
"225","4",1.01,"E1",3,2.2
"226","4",1.01,"E1",3,2.2
"227","0",0.92,"<1",0,-6.1
"228","0",0.92,"<1",0,-6.1
"229","1",0.83,"<1",0,8.3
"230","1",0.83,"<1",0,8.3
"231","1",0.72,"<1",4.3,-1.7
"232","1",0.64,"<1",4.8,10.6
"233","1",0.64,"<1",4.8,10.6
"234","3",0.6,"<1",12.7,13.9
"235","3",0.6,"<1",12.7,13.9
"236","2",0.65,"<1",1.3,8.3
"237","2",0.65,"<1",1.3,8.3
"238","4",0.72,"E1",1.3,-1.1
"239","4",0.72,"E1",1.3,-1.1
"240","0",0.76,"<1",20.8,7.8
"241","6",0.69,"E1",21.8,4.4
"242","2",0.83,"E3",10.4,17.8
"243","0",0.8,"E1",0,15.6
"244","0",0.8,"E2",0,9.4
"245","0",0.8,"E2",0,9.4
"246","2",0.63,"<1",0,8.9
"247","2",0.65,"<1",3.8,18.3
"248","2",0.66,"E1",0,12.2
"249","1",0.73,"E3",2.8,14.4
"250","1",0.73,"E3",2.8,14.4
"251","2",0.63,"E2",0,18.9
"252","2",0.63,"E2",0,18.9
"253","1",0.58,"<1",0,22.2
"254","1",0.58,"<1",0,22.2
"255","2",0.68,"E1",0,20
"256","2",0.68,"E1",0,20
"257","0",0.66,"E4",0,16.7
"258","1",0.7,"<1",0,12.8
"259","0",0.83,"<1",4.6,19.4
"260","0",0.76,"E1",0,11.1
"261","1",0.78,"E2",4.8,15.6
"262","1",0.78,"E2",4.8,15.6
"263","2",0.73,"E2",0,13.9
"264","2",0.73,"E2",0,13.9
"265","0",0.75,"E3",0.5,16.1
"266","0",0.75,"E3",0.5,16.1
"267","0",0.75,"E1",0,17.2
"268","0",0.75,"E1",0,17.2
"269","0",0.53,"E1",0,11.7
"270","0",0.53,"E1",0,11.7
"271","0",0.75,"E4",0,18.9
"272","2",0.63,"<1",0,5
"273","2",0.68,"E5",6.4,7.2
"274","1",0.66,"E6",31,10
"275","1",0.68,"E2",0,-2.2
"276","1",0.75,"<1",0,5.6
"277","0",0.84,"E1",0,0.6
"278","5",0.73,"E1",7.6,3.9
"279","12",0.93,"E5",22.4,0
"280","2",0.74,"<1",0,1.1
"281","7",0.74,"E1",0,-1.7
"282","3",0.73,"<1",0,-2.8
"283","0",0.85,"E4",14,1.7
"284","8",0.7,"E5",0,-1.1
"285","4",0.64,"<1",0,-1.1
"286","2",0.68,"E2",0,-13.9
"287","3",0.76,"E4",0,-0.6
"288","4",0.66,"<1",0.8,1.7
"289","1",0.76,"<1",1.5,2.8
"290","8",0.75,"E4",0,0.6
"291","9",0.8,"E9",0,7.8
"292","2",0.77,"E2",0,-4.4
"293","1",0.73,"<1",0,3.9
"294","1",0.78,"<1",0,-3.3
"296","9",0.89,"<1",24.4,0
"297","3",0.78,"<1",7.4,4.4
"298","2",0.7,"E1",0,5
"299","5",0.77,"<1",6.4,12.8
"300","1",0.79,"<1",0,6.7
"301","1",0.82,"<1",9.4,2.8
"302","2",0.69,"<1",0,13.9
"303","2",0.78,"<1",0,3.3
"304","1",0.83,"E1",0,12.2
"305","1",0.78,"E1",0,14.4
"306","1",0.81,"E2",0,5
"307","2",0.82,"E2",0,10.6
"308","1",0.76,"<1",0,8.3
"309","0",0.77,"<1",0,18.3
"310","1",0.8,"E1",5.1,17.2
"311","0",0.82,"E1",0,18.3
"312","0",0.75,"<1",0,20
"313","0",0.88,"<1",0,23.9
"314","0",0.97,"E1",0,18.9
"315","1",0.86,"E2",8.1,22.2
"316","0",0.74,"E1",0,19.4
"317","0",0.69,"<1",5.8,14.4
"318","1",0.72,"<1",0,20
"319","0",0.68,"<1",0,10.6
"320","1",0.69,"E1",0,15
"321","1",0.73,"<1",0,16.7
"322","0",0.76,"E1",0,1.7
"323","0",0.67,"<1",2,20.6
"324","1",0.69,"E3",0,7.2
"325","0",0.82,"E1",8.1,10
"326","1",0.7,"E1",0,6.7
"327","0",0.78,"E1",0.5,7.2
"329","1",0.91,"E1",0,1.7
"330","0",0.78,"E2",0,3.3
"331","0",0.88,"E6",12.7,6.7
"332","0",0.88,"E4",3.3,13.9
"333","0",0.74,"E1",0,2.8
"334","0",0.77,"<1",0,-3.9
"335","2",0.73,"E1",0,1.7
"336","1",0.8,"<1",0,-0.6
